Tijelo,1-5,6-10,11-15,16-20,21-40,41-60,61+,Median,Broj neodgovorenih,Najstariji neodgovoreni
"Agencija Alan, Zagreb",1,0,0,0,0,0,0,5,,
Agencija za društveno poticanu stanogradnju Grada Rijeke,0,1,0,0,0,0,0,10,,
"Agencija za investicije i konkurentnost, Zagreb",0,0,0,0,1,0,0,25,,
Agencija za javno-privatno partnerstvo,1,0,0,0,0,0,0,2,,
"Agencija za komercijalnu djelatnost, Zagreb",0,0,0,0,1,0,0,24,,
"Agencija za obalni linijski pomorski promet, Split",0,0,1,0,0,0,0,13,,
"Agencija za odgoj i obrazovanje, Zagreb",0,1,0,0,0,0,0,10,,
"Agencija za održivi razvoj Općine Antunovac - RODA, Antunovac",1,0,0,0,0,0,0,5,,
"Agencija za osiguranje radničkih potraživanja u slučaju stečaja poslodavca, Zagreb",1,0,1,0,0,0,0,8,,
"Agencija za ozakonjenje nezakonito izgrađenih zgrada, Zagreb",0,0,1,0,0,0,0,14,,
"Agencija za plaćanja u poljoprivredi, ribarstvu i ruralnom razvoju, Zagreb",2,1,1,0,0,0,0,4.5,2,251 dana
"Agencija za poljoprivredno zemljište, Zagreb",0,0,0,0,0,0,0,,1,251 dana
"Agencija za pravni promet i posredovanje nekretninama, Zagreb",0,1,1,0,0,0,0,10,,
"Agencija za prostore ugrožene eksplozivnom atmosferom, Sveta Nedjelja",1,0,0,1,0,0,0,11.5,,
"Agencija za razvoj i investicije Grada Vinkovaca Via, Vinkovci",0,0,0,0,0,0,0,,1,251 dana
"Agencija za regionalni razvoj Republike Hrvatske, Zagreb",1,0,1,0,0,0,0,6.5,,
"Agencija za strukovno obrazovanje i obrazovanje odraslih, Zagreb",0,1,0,0,0,0,0,10,,
"Agencija za ugljikovodike, Zagreb",1,0,7,0,0,0,0,15,1,179 dana
"Agencija za vodne putove, Vukovar",0,0,0,1,0,0,0,16,,
"Agencija za zaštitu osobnih podataka, Zagreb",0,0,0,1,0,0,0,18,,
"Agencija za zaštitu tržišnog natjecanja, Zagreb",1,0,0,0,0,0,0,2,,
"Agencija za znanost i visoko obrazovanje, Zagreb",0,0,2,0,0,0,0,14,,
"Akvarij i muzej pomorske tradicije, Vodice",0,0,0,0,0,0,0,,1,33 dana
"Arheološki muzej Istre, Pula",1,0,0,0,0,0,0,1,,
"Arheološki muzej Narona, Vid",0,1,0,0,0,0,0,9,,
Arheološki muzej Zadar,0,0,0,1,0,0,0,20,,
Arheološki muzej u Splitu,1,0,0,0,0,0,0,4,,
Arheološki muzej u Zagrebu,1,0,0,0,0,0,0,1,,
Baranjska razvojna agencija Grada Belog Manastira,1,0,0,0,0,0,0,2,,
"Baranjska čistoća, Beli Manastir",1,0,0,0,0,0,0,3,,
"Baranjski vodovod, Beli Manastir",0,0,0,0,0,0,0,,1,119 dana
Bjelovarsko-bilogorska županija,0,1,1,0,0,0,0,12,2,193 dana
Brodsko-posavska županija,2,1,0,0,0,0,0,5,,
"Centar za restrukturiranje i prodaju, Zagreb",1,0,0,0,0,0,0,2,,
"Centar za tehnološki razvoj - razvojna agencija Brodsko-posavske županije, Slavonski Brod",0,0,0,0,1,0,0,24,,
"Civitas Bullearum, Buje",1,0,0,0,0,0,0,2,,
"Creski muzej, Cres",1,0,0,0,0,0,0,1,,
"Croatia Airlines, Zagreb",0,1,1,0,0,0,0,10,,
"Dječji vrtić 101 Dalmatinac, Poreč",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Antonija, Stobreč",1,0,0,0,0,0,0,2,,
"Dječji vrtić Bajka, Varaždin",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Bajka, Zagreb",0,1,0,0,0,0,0,10,,
"Dječji vrtić Bakar, Bakar",1,0,0,0,0,0,0,1,,
"Dječji vrtić Balončica, Hum na Sutli",1,0,0,0,0,0,0,2,,
"Dječji vrtić Baltazar, Gračac",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Baltazar, Zagreb",0,0,0,0,0,0,0,,1,193 dana
