Tijelo,1-5,6-10,11-15,16-20,21-40,41-60,61+,Median,Broj neodgovorenih,Najstariji neodgovoreni
"Dječji vrtić Bambi, Marija Gorica",1,0,0,0,0,0,0,5,,
"Dječji vrtić Bambi, Novi Marof",0,1,0,0,0,0,0,10,,
"Dječji vrtić Bambi, Pula",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Bambi, Smokvica",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Bambi, Sunja",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Bambi, Škrljevo",0,0,1,0,0,0,0,13,,
"Dječji vrtić Bedekovčina, Bedekovčina",1,0,0,0,0,0,0,2,,
"Dječji vrtić Biograd, Biograd na Moru",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Biokovsko zvonce, Makarska",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Bistrac, Ogulin",1,0,0,0,0,0,0,1,,
"Dječji vrtić Bjelovar, Bjelovar",1,0,0,0,0,0,0,1,,
"Dječji vrtić Blagovijest, Kaštel Stari",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Blagovijest, Split",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Blagovijest, Zadar",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Blato, Blato",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Blažena Hozana, Zagreb",0,1,0,0,0,0,0,10,,
"Dječji vrtić Botinec, Zagreb",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Brat Sunce, Podstrana",0,0,1,0,0,0,0,11,,
"Dječji vrtić Brat Sunce, Primošten",0,1,0,0,0,0,0,8,,
"Dječji vrtić Brat sunce, Zagreb",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Brat sunce, Šibenik",1,0,0,0,0,0,0,2,,
"Dječji vrtić Bregunica, Novo Virje",0,1,0,0,0,0,0,10,,
"Dječji vrtić Brela, Brela",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Buba Biba, Dugo Selo",0,1,0,0,0,0,0,10,,
"Dječji vrtić Bubamara, Benkovac",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Bubamara, Bjelovar",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Bubamara, Donja Stubica",1,0,0,0,0,0,0,4,,
"Dječji vrtić Bubamara, Dubrovnik",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Bubamara, Glina",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Bubamara, Gornji Kneginec",0,1,0,0,0,0,0,9,,
"Dječji vrtić Bubamara, Kalinovac",1,0,0,0,0,0,0,1,,
"Dječji vrtić Bubamara, Čabar",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Bubamara-Coccinella, Ližnjan",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Buje, Buje",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Bukovac, Zagreb",1,0,0,0,0,0,0,1,,
"Dječji vrtić Calimero, Dubrovnik",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Calimero, Split",1,0,0,0,0,0,0,5,,
"Dječji vrtić Carić, Novalja",0,1,0,0,0,0,0,8,,
"Dječji vrtić Ciciban, Bjelovar",0,1,0,0,0,0,0,7,,
"Dječji vrtić Ciciban, Medulin",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Ciciban, Otočac",0,1,0,0,0,0,0,7,,
"Dječji vrtić Ciciban, Velika Gorica",1,0,0,0,0,0,0,2,,
"Dječji vrtić Cipelići, Poreč",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Cipelići, Pula",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Crvenkapica, Ilok",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Crvenkapica, Poreč",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Cvit mediterana, Split",0,1,0,0,0,0,0,8,,
"Dječji vrtić Cvit, Sveti Filip i Jakov",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Cvjetnjak, Zagreb",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Cvrčak i mrav, Tribalj",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Cvrčak, Mali Lošinj",1,0,0,0,0,0,0,1,,
"Dječji vrtić Cvrčak, Posedarje",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Cvrčak, Pula",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Cvrčak, Solin",0,1,0,0,0,0,0,9,,
"Dječji vrtić Cvrčak, Virovitica",0,1,0,0,0,0,0,7,,
"Dječji vrtić Cvrčak, Čakovec",1,0,0,0,0,0,0,2,,
"Dječji vrtić Dabrić, Legrad",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Delfin, Pula",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Didi, Krašić",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Disneyland, Split",1,0,0,0,0,0,0,5,,
"Dječji vrtić Dječja mašta, Čakovec",0,0,0,1,0,0,0,16,,
"Dječji vrtić Dječji koraci, Zagreb",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Dječji san, Sveta Nedelja",0,0,1,0,0,0,0,15,,
"Dječji vrtić Dječji svijet, Varaždin",0,0,0,0,0,0,0,,1,193 dana
Dječji vrtić Dobri,1,0,0,0,0,0,0,1,,
"Dječji vrtić Dobrilići, Pula",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Dobro Drvo, Zagreb",1,0,0,0,0,0,0,1,,
"Dječji vrtić Drniš, Drniš",1,0,0,0,0,0,0,2,,
"Dječji vrtić Dubrava, Dubrava Vrbovečka",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Duga Resa, Duga Resa",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Duga, Split",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Dugin svijet, Pula",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Dugine boje, Osijek",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić En ten tini, Zagreb",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Fijolica, Novi Vinodolski",1,0,0,0,0,0,0,1,,
"Dječji vrtić Fijolica, Novigrad Podravski",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Fijolica, Prelog",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Gajnice, Zagreb",1,0,0,0,0,0,0,1,,
"Dječji vrtić Gardelin, Pakoštane",0,1,0,0,0,0,0,6,,
"Dječji vrtić Girice, Cres",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Gloria, Labin",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Golubica, Zadar",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Gradac, Gradac",1,0,0,0,0,0,0,0,,
"Dječji vrtić Grdelin, Postira",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Grigora Viteza, Zagreb",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Grlica, Bilje",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Grobnički tići, Čavle",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Gustav Krklec, Krapina",1,0,0,0,0,0,0,1,,
"Dječji vrtić Harfa, Zagreb",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Histrići, Pula",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Hlapić, Zadar",0,0,1,0,0,0,0,12,,
"Dječji vrtić Hlojkica, Delnice",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Hugo, Split",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Igra, Koprivnica",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Imotski, Imotski",1,0,0,0,0,0,0,2,,
"Dječji vrtić Iskrica, Lipovljani",0,0,1,0,0,0,0,11,,
"Dječji vrtić Iskrica, Ludbreg",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Ivana Brlić Mažuranić, Slavonski Brod",1,0,0,0,0,0,0,3,,
"Dječji vrtić Ivanić Grad, Ivanić Grad",1,0,0,0,0,0,0,3,,
"Dječji vrtić Ivančica, Ivanska",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Ivančica, Čeminac",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Izvor, Samobor",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Izvor, Zagreb",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Jaglac, Kumrovec",1,0,0,0,0,0,0,1,,
"Dječji vrtić Jaglac, Đurđenovac",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Jelenko, Dekanovec",1,0,0,0,0,0,0,3,,
"Dječji vrtić Jelenko, Voćin",1,0,0,0,0,0,0,2,,
"Dječji vrtić Jelsa, Jelsa",0,1,0,0,0,0,0,7,,
"Dječji vrtić Jordanovac, Zadar",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Jordanovac, Zagreb",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Kalimero, Brtonigla",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Kapljica, Poljanica Bistranska, Donja Bistra",1,0,0,0,0,0,0,5,,
"Dječji vrtić Karlovac, Karlovac",0,1,0,0,0,0,0,10,,
"Dječji vrtić Katarina Frankopan, Krk",0,1,0,0,0,0,0,8,,
"Dječji vrtić Kaštela, Kaštel Stari",0,1,0,0,0,0,0,10,,
"Dječji vrtić Kesten, Klanjec",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Kikica, Šibenik",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Klinčec, Donja Dubrava",0,0,0,0,0,0,1,92,,
"Dječji vrtić Klokan, Zadar",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Kocka kockica, Zadar",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Kockica, Lipik",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Kockica, Zagreb",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Kockice, Štrigova",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Koko, Zagreb",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Kolibri, Zagreb",0,1,0,0,0,0,0,7,,
"Dječji vrtić Kolijevka, Vinkovci",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Komiža, Komiža",1,0,0,0,0,0,0,2,,
"Dječji vrtić Konavle, Konavle",0,0,1,0,0,0,0,13,,
"Dječji vrtić Konjščina, Konjščina",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Koraci, Velika Gorica",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Korčula, Korčula",1,0,0,0,0,0,0,2,,
"Dječji vrtić Kosjenka, Vinkovci",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Kotoriba, Kotoriba",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Košutica, Ferdinandovac",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Krijesnica, Hrvatska Kostajnica",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Krijesnica, Mali Bukovec",0,1,0,0,0,0,0,7,,
"Dječji vrtić Krijesnica, Stari Jankovci",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Križ, Križ",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Kutina, Kutina",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Kutjevo, Kutjevo",1,0,0,0,0,0,0,1,,
"Dječji vrtić Kućica od licitra, Pula",0,0,0,1,0,0,0,18,,
"Dječji vrtić Lastavica, Preko",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Lastavica, Punat",0,0,0,0,1,0,0,24,,
"Dječji vrtić Latica, Klenovnik",1,0,0,0,0,0,0,4,,
"Dječji vrtić Latica, Zadar",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Lekenik, Lekenik",0,1,0,0,0,0,0,7,,
"Dječji vrtić Lepoglava, Lepoglava",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Leptirići, Bibinje",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Leut, Metković",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Liliput, Bobota",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Loptica, Imotski",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Loptica, Zadar",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Loptica, Čakovec",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Ludina, Velika Ludina",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Maja Pčelica, Maruševec",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Mala tratinčica, Podturen",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Mali Isus, Kaštel Kambelovac",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Mali Isus, Metković",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Mali Kaj, Krapina",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Mali Princ, Bol",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Mali Princ, Višnjevac",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Mali cvrčak, Zagreb",1,0,0,0,0,0,0,3,,
"Dječji vrtić Mali mornari, Podstrana",1,0,0,0,0,0,0,5,,
"Dječji vrtić Mali prijatelji, Samobor",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Mali princ, Petrinja",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Mali princ, Rijeka",1,0,0,0,0,0,0,1,,
"Dječji vrtić Mali svijet, Lučko",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Mali svijet, Pula",0,1,0,0,0,0,0,7,,
"Dječji vrtić Malik, Viškovo",0,1,0,0,0,0,0,7,,
"Dječji vrtić Manulica, Kukljica",1,0,0,0,0,0,0,1,,
"Dječji vrtić Marija Petković, Zagreb",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Marina, Marina",0,1,0,0,0,0,0,9,,
"Dječji vrtić Marjan, Split",0,1,0,0,0,0,0,6,,
"Dječji vrtić Maruškica, Škabrnja",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Maslačak, Belišće",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Maslačak, Garešnica",1,0,0,0,0,0,0,2,,
"Dječji vrtić Maslačak, Krapinske Toplice",0,1,0,0,0,0,0,8,,
"Dječji vrtić Maslačak, Mursko Središće",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Maslačak, Primorski Dolac",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Maslačak, Zadar",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Maslačak, Đurđevac",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Maslačak, Županja",0,0,1,0,0,0,0,11,,
"Dječji vrtić Maza, Valpovo",0,1,0,0,0,0,0,6,,
"Dječji vrtić Maza, Viškovo",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Medo, Udbina",1,0,0,0,0,0,0,1,,
Dječji vrtić Medveščak,0,0,0,0,0,0,0,,1,193 dana
Dječji vrtić Metković,0,0,1,0,0,0,0,11,1,193 dana
"Dječji vrtić Milana Sachsa, Zagreb",0,0,0,0,0,0,0,,1,193 dana
Dječji vrtić Milna,0,1,0,0,0,0,0,9,,
"Dječji vrtić Mirjam Weiller, Zagreb",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Mladost, Vođinci",0,1,0,0,0,0,0,7,,
"Dječji vrtić Moj bambi, Valpovo",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Moj dan, Pula",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Montessori dječja kuća, Split",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Montessori, Zagreb",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić More, Fažana",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić More, Zadar",0,1,0,0,0,0,0,10,,
"Dječji vrtić Morski Konjić, Podgora",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Mrvica, Supetar",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Nazaret, Rijeka",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Naša radost, Pregrada",0,1,0,0,0,0,0,9,,
"Dječji vrtić Nemo, Zagreb",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Nikole Zrinskog, Zagreb",0,0,0,0,0,0,0,,1,193 dana
Dječji vrtić Nova Gradiška,1,0,0,0,0,0,0,1,,
Dječji vrtić Novi Marof,1,0,0,0,0,0,0,1,,
"Dječji vrtić Oblutak, Pula",1,0,0,0,0,0,0,1,,
"Dječji vrtić Obzori, Zagreb",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Olga Ban, Pazin",0,0,0,0,0,0,0,,1,193 dana
Dječji vrtić Omiš,1,0,0,0,0,0,0,3,,
Dječji vrtić Opatija,1,0,0,0,0,0,0,1,,
Dječji vrtić Opuzen,0,0,0,0,0,0,0,,1,193 dana
Dječji vrtić Općine Primošten,1,0,0,0,0,0,0,2,,
Dječji vrtić Orebić,0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Orepčići, Kraljevica",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Orkulice, Split",1,0,0,0,0,0,0,1,,
"Dječji vrtić Oršula, Šibenik",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Osmijeh, Bjelovar",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Osmijeh, Samobor",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Osmijeh, Šibenik",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Osmjeh, Starigrad Paklenica",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Otok Pašman, Neviđane",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Pahuljica, Gospić",1,0,0,0,0,0,0,1,,
"Dječji vrtić Pahuljica, Rab",0,1,0,0,0,0,0,9,,
"Dječji vrtić Palčica, Privlaka",0,1,0,0,0,0,0,9,,
"Dječji vrtić Palčica, Rovišće",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Palčica, Sesvete",1,0,0,0,0,0,0,1,,
"Dječji vrtić Palčić, Orahovica",1,0,0,0,0,0,0,3,,
"Dječji vrtić Palčić, Varaždin",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Panda, Varaždin",0,0,0,1,0,0,0,18,,
"Dječji vrtić Paperino, Poreč",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Paški Mališani, Pag",0,1,0,0,0,0,0,7,,
"Dječji vrtić Petar Pan, Dubrovnik",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Petar Pan, Novi Marof",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Petar Pan, Zadar",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Petar Pan, Zagreb",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Petar Pan, Črešnjevo",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Petrinjčica, Petrinja",1,0,0,0,0,0,0,4,,
"Dječji vrtić Pingvin, Pula",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Pingvin, Zagreb",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Pinokio, Bjelovar",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Pinokio, Donji Miholjac",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Pinokio, Marčana",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Pinokio, Zadar",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Pipi Duga Čarapa, Solin",1,0,0,0,0,0,0,2,,
"Dječji vrtić Pipi duga čarapa, Zagreb",0,0,1,0,0,0,0,15,,
"Dječji vrtić Pjerina Verbanac, Labin",0,1,0,0,0,0,0,9,,
Dječji vrtić Ploče,0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Poletarac, Zagreb",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Poneštrica, Kastav",0,0,0,0,0,0,0,,1,193 dana
Dječji vrtić Popovača,0,1,0,0,0,0,0,7,,
Dječji vrtić Potočić Pisarovina,0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Potočić, Jalžabet",1,0,0,0,0,0,0,4,,
"Dječji vrtić Potočić, Rakov Potok",0,1,0,0,0,0,0,9,,
"Dječji vrtić Potočnica, Mala Subotica",1,0,0,0,0,0,0,2,,
"Dječji vrtić Potočnica, Pitomača",1,0,0,0,0,0,0,1,,
"Dječji vrtić Povljanski tići, Povljana",0,0,0,0,0,0,0,,1,193 dana
Dječji vrtić Požega,0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Princeza, Split",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Proljeće, Kloštar Ivanić",0,1,0,0,0,0,0,8,,
"Dječji vrtić Proljeće, Sveti Ivan Zelina",1,0,0,0,0,0,0,4,,
"Dječji vrtić Prvi koraci, Zagreb",0,0,0,0,0,0,0,,1,193 dana
Dječji vrtić Pučišća,0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Pušlek, Marija Bistrica",0,1,0,0,0,0,0,6,,
"Dječji vrtić Pčelica Maja, Split",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Pčelica, Molve",1,0,0,0,0,0,0,1,,
"Dječji vrtić Pčelica, Petlovac",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Pčelica, Vrgorac",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Pčelica, Zagreb",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Pčelica, Čazma",1,0,0,0,0,0,0,1,,
"Dječji vrtić Pčelice, Škrljevo",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Radosno djetinjstvo, Ivankovo",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Radost, Jastrebarsko",1,0,0,0,0,0,0,2,,
"Dječji vrtić Radost, Ludbreg",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Radost, Požega",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Radost, Zadar",0,1,0,0,0,0,0,6,,
"Dječji vrtić Rapčići, Žminj",0,1,0,0,0,0,0,8,,
"Dječji vrtić Regoč, Tenja",1,0,0,0,0,0,0,1,,
"Dječji vrtić Remetinec, Zagreb",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Ribica, Grubine",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Ribica, Sveti Martin na Muri",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Ribica, Zadar",1,0,0,0,0,0,0,3,,
"Dječji vrtić Ribice, Pula",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Rožica, Veliko Trgovišće",0,1,0,0,0,0,0,10,,
"Dječji vrtić Runolist, Lepoglava-Žarovnica",0,0,0,0,0,0,0,,1,193 dana
Dječji vrtić Runović,0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Ružica, Goričan",0,0,0,0,0,0,0,,1,193 dana
"Dječji vrtić Ružičnjak, Zagreb",0,0,0,1,0,0,0,17,,
