Tijelo,1-5,6-10,11-15,16-20,21-40,41-60,61+,Median,Broj neodgovorenih,Najstariji neodgovoreni
Turistička zajednica Zračna luka Dubrovnik,1,0,0,0,0,0,0,1,,
Turistička zajednica mjesta Silba,0,0,0,0,0,0,0,,1,184 dana
Turistička zajednica Čabar,0,0,0,1,0,0,0,19,,
Turistička zajednica Čakovec,1,0,0,0,0,0,0,1,,
Turistička zajednica Čavle,1,0,0,0,0,0,0,1,,
Turistička zajednica Čačinci,0,0,0,0,0,0,0,,1,183 dana
Turistička zajednica Đakovo,1,0,0,0,0,0,0,1,,
Turistička zajednica Šibenik,1,0,0,0,0,0,0,1,,
Turistička zajednica Šibensko-kninske županije,2,0,0,0,0,0,0,3,,
Turistička zajednica Šipanska Luka,0,0,0,0,0,0,0,,1,186 dana
Turistička zajednica Šolta,1,0,0,0,0,0,0,1,,
Turistička zajednica Žakanje,0,0,0,0,0,0,0,,1,186 dana
Turistička zajednica Živogošće,1,0,0,0,0,0,0,4,,
Turistička zajednica Žminj,1,0,0,0,0,0,0,4,,
Turistička zajednica Žuljana,0,0,0,0,0,0,0,,1,180 dana
Turistička zajednica Župa Dubrovačka,1,0,0,0,0,0,0,1,,
Turistička zajednica Županja,1,0,0,0,0,0,0,1,,
"Univerzal, Đakovo",0,0,0,0,0,0,0,,5,115 dana
Ured Predsjednika Republike Hrvatske,1,0,0,0,0,0,0,3,,
Ured državne uprave u Zadarskoj županiji,1,0,0,0,0,0,0,5,,
Ured za udruge Vlade Republike Hrvatske,0,0,1,0,0,0,0,13,,
Vinkovački vodovod i kanalizacija,0,1,0,0,0,0,0,8,,
Virkom,1,0,0,0,0,0,0,2,,
Visoki trgovački sud Republike Hrvatske,0,0,0,0,1,0,0,36,,
Vlada Republike Hrvatske,1,1,2,0,1,0,0,11,,
Vodoopskrba i odvodnja Zagrebačke županije,0,0,0,0,0,0,0,,1,145 dana
Vodovod i kanalizacija - Split,2,0,0,0,0,0,0,2,,
Vrhovni sud Republike Hrvatske,2,0,0,0,0,0,0,2,,
Zagrebački holding,2,0,1,1,1,0,4,36,5,186 dana
"Zavod za vještačenje, profesionalnu rehabilitaciju i zapošljavanje osoba s invaliditetom",0,1,0,0,0,0,0,6,,
Čistoća - Split d.o.o,1,1,0,0,0,0,0,4,,
Neka upozorenja,,,,,,,,,,
Imajte na umu ograničenja u uvjetima izrade ove statistike:,,,,,,,,,,
Datum završetka je pretpostavljen da je posljednji odgovor koji se podudara s konačnim statusom.,,,,,,,,,,
Svrstavanje statusa zahtjeva koje radi korisnik smatra se točnim.,,,,,,,,,,
Datum završetka ne uzima u obzir odgode poput produženja roka za odgovor ili roka za zahtjev za dopunu ili ispravak.,,,,,,,,,,
"Ustupanje zahtjeva nije nužno uzet u u obzir, prikazano je prvo tijelo kojemu je dostavljen zahtjev.",,,,,,,,,,
Iznimno ustupanje pojedinog zahtjeva jednom tijelu i kada je korisnik obavijestio administratore biti će uzeti u obzir.,,,,,,,,,,
Zahtjevima se smatraju sve podvrste zahtjeva za pristup informacijama prema Zakonu o pravu na pristup informacijama.,,,,,,,,,,
Ovaj izvještaj kreiran je na dan 31. prosinca 2015. te prikazuje stanje na taj dan i kasnije izmjene ovdje više neće biti ažurirane.,,,,,,,,,,
