Tijelo,1-5,6-10,11-15,16-20,21-40,41-60,61+,Median,Broj neodgovorenih,Najstariji neodgovoreni
Agencija Alan,1,0,0,0,0,0,0,4,,
"Agencija za istraživanje nesreća u zračnom, pomorskom i željezničkom prometu",0,0,1,0,0,0,0,13,,
Agencija za javno-privatno partnerstvo,0,1,0,0,0,0,0,10,,
Agencija za kvalitetu i akreditaciju u zdravstvu i socijalnoj skrbi,2,0,0,0,0,0,0,2,,
Agencija za lijekove i medicinske proizvode,0,0,0,0,0,0,1,134,,
Agencija za ozakonjenje nezakonito izgrađenih zgrada,0,0,0,0,0,1,0,47,,
"Agencija za plaćanja u poljoprivredi, ribarstvu i ruralnom razvoju",2,0,0,0,0,0,0,1,,
Agencija za poljoprivredno zemljište,0,0,0,0,0,0,1,78,,
Agencija za ugljikovodike,0,0,1,0,0,0,0,12,,
Agencija za zaštitu tržišnog natjecanja,0,0,1,0,0,0,0,12,,
Argyruntum,1,0,0,0,0,0,0,3,,
Bicro biocentar,0,1,0,0,0,0,0,8,,
Bjelovarsko-bilogorska županija,1,0,0,0,0,0,0,5,,
"Bolnica za ortopediju i rehabilitaciju Prim.dr.Martin Horvat, Rovinj",0,1,0,0,0,0,0,9,,
Brodsko-posavska županija,0,1,0,0,0,0,0,10,,
"Buža, Medulin",1,0,0,0,0,0,0,1,,
Centar za profesionalnu rehabilitaciju Osijek,0,0,0,0,0,0,0,,1,90 dana
Centar za profesionalnu rehabilitaciju Zagreb,0,1,0,0,0,0,0,9,,
Centar za socijalnu skrb Beli Manastir,0,1,0,0,0,0,0,7,,
Centar za socijalnu skrb Benkovac,0,0,0,0,0,0,0,,1,113 dana
Centar za socijalnu skrb Biograd na moru,0,0,1,0,0,0,0,11,,
Centar za socijalnu skrb Bjelovar,0,0,0,0,1,0,0,31,,
Centar za socijalnu skrb Brač - Supetar,0,1,0,0,0,0,0,8,,
Centar za socijalnu skrb Buje,0,0,0,0,1,0,0,31,,
"Centar za socijalnu skrb Cres-Lošinj, Mali Lošinj",0,0,0,0,0,0,0,,1,113 dana
Centar za socijalnu skrb Crikvenica,0,1,0,0,0,0,0,7,,
Centar za socijalnu skrb Daruvar,0,1,0,0,0,0,0,8,,
Centar za socijalnu skrb Donja Stubica,0,0,0,0,0,1,0,54,,
Centar za socijalnu skrb Donji Miholjac,0,0,0,0,1,0,0,31,,
Centar za socijalnu skrb Drniš,0,0,0,0,0,0,0,,1,113 dana
Centar za socijalnu skrb Dubrovnik,0,0,0,0,0,0,0,,1,113 dana
Centar za socijalnu skrb Duga Resa,0,0,0,0,0,1,0,58,,
Centar za socijalnu skrb Dugo Selo,0,0,0,0,1,0,0,34,,
Centar za socijalnu skrb Garešnica,0,0,0,0,0,0,0,,1,113 dana
Centar za socijalnu skrb Glina,0,0,0,0,1,0,0,31,,
Centar za socijalnu skrb Gospić,0,0,0,0,0,0,0,,1,113 dana
Centar za socijalnu skrb Hrvatska Kostajnica,0,1,0,0,0,0,0,7,,
Centar za socijalnu skrb Imotski,0,1,0,0,0,0,0,6,,
Centar za socijalnu skrb Ivanec,0,0,0,0,0,1,0,44,,
Centar za socijalnu skrb Ivanić Grad,0,0,0,0,0,0,0,,1,113 dana
Centar za socijalnu skrb Jastrebarsko,0,0,0,0,0,0,0,,1,113 dana
Centar za socijalnu skrb Karlovac,0,0,0,0,0,1,0,60,1,81 dana
Centar za socijalnu skrb Knin,0,0,0,0,0,0,0,,1,113 dana
Centar za socijalnu skrb Koprivnica,0,1,0,0,0,0,0,8,,
Centar za socijalnu skrb Korčula,0,0,0,0,0,0,0,,1,113 dana
Centar za socijalnu skrb Krapina,1,0,0,0,0,0,0,5,,
Centar za socijalnu skrb Križevci,0,0,0,0,0,0,0,,1,113 dana
Centar za socijalnu skrb Krk,0,1,0,0,0,0,0,6,,
Centar za socijalnu skrb Kutina,0,0,1,0,0,0,0,15,,
Centar za socijalnu skrb Labin,0,0,0,0,0,0,0,,1,113 dana
Centar za socijalnu skrb Ludbreg,0,1,0,0,0,0,0,6,,
Centar za socijalnu skrb Makarska,0,0,0,0,1,0,0,23,,
Centar za socijalnu skrb Metković,0,0,0,0,1,0,0,31,,
Centar za socijalnu skrb Našice,0,0,0,1,0,0,0,17,,
Centar za socijalnu skrb Nova Gradiška,0,0,0,0,0,0,0,,1,113 dana
Centar za socijalnu skrb Novi Marof,0,0,1,0,0,0,0,13,,
Centar za socijalnu skrb Novska,0,0,1,0,0,0,0,11,,
Centar za socijalnu skrb Ogulin,0,0,0,0,0,0,0,,1,113 dana
Centar za socijalnu skrb Omiš,1,0,0,0,0,0,0,4,,
Centar za socijalnu skrb Opatija,0,0,0,0,1,0,0,35,,
Centar za socijalnu skrb Osijek,0,0,0,0,0,0,0,,1,113 dana
Centar za socijalnu skrb Pakrac,1,0,0,0,0,0,0,4,,
Centar za socijalnu skrb Pazin,0,1,0,0,0,0,0,6,,
Centar za socijalnu skrb Petrinja,0,0,0,0,0,0,0,,1,113 dana
Centar za socijalnu skrb Ploče,0,0,0,0,1,0,0,29,,
Centar za socijalnu skrb Poreč - Parenzo,0,0,1,0,0,0,0,14,,
Centar za socijalnu skrb Požega,0,0,0,0,0,0,0,,1,113 dana
Centar za socijalnu skrb Pula,0,0,0,0,0,1,0,49,,
Centar za socijalnu skrb Rijeka,0,0,1,0,0,0,0,14,,
Centar za socijalnu skrb Rovinj,0,0,0,0,0,0,0,,1,113 dana
Centar za socijalnu skrb Samobor,1,0,0,0,0,0,0,3,,
Centar za socijalnu skrb Senj,0,0,0,0,0,0,0,,1,113 dana
Centar za socijalnu skrb Sinj,0,0,0,0,0,0,0,,1,113 dana
Centar za socijalnu skrb Sisak,0,0,1,0,0,0,0,11,,
Centar za socijalnu skrb Slatina,0,1,0,0,0,0,0,7,,
Centar za socijalnu skrb Slavonski Brod,1,0,0,0,0,0,0,5,,
Centar za socijalnu skrb Slunj,1,0,0,0,0,0,0,4,,
Centar za socijalnu skrb Split,0,1,0,0,0,0,0,6,,
Centar za socijalnu skrb Sv. Ivan Zelina,0,0,0,0,0,0,0,,1,113 dana
Centar za socijalnu skrb Trogir,0,1,0,0,0,0,0,7,,
Centar za socijalnu skrb Valpovo,0,0,0,0,1,0,0,22,,
Centar za socijalnu skrb Varaždin,0,0,0,0,1,0,0,29,,
Centar za socijalnu skrb Velika Gorica,0,0,0,0,1,0,0,29,,
Centar za socijalnu skrb Vinkovci,0,0,1,0,0,0,0,11,,
Centar za socijalnu skrb Virovitica,0,1,0,0,0,0,0,6,,
Centar za socijalnu skrb Vrbovec,0,0,0,0,0,0,0,,1,113 dana
Centar za socijalnu skrb Vukovar,0,0,1,0,0,0,0,13,,
Centar za socijalnu skrb Zabok,1,0,0,0,0,0,0,5,,
Centar za socijalnu skrb Zadar,0,0,0,0,0,0,0,,1,113 dana
Centar za socijalnu skrb Zagreb,0,0,0,0,0,0,0,,1,113 dana
Centar za socijalnu skrb Zaprešić,0,1,0,0,0,0,0,7,,
Centar za socijalnu skrb Zlatar Bistrica,0,0,0,0,0,1,0,53,,
Centar za socijalnu skrb Čakovec,0,0,0,1,0,0,0,18,,
Centar za socijalnu skrb Čazma,1,0,0,0,0,0,0,3,,
Centar za socijalnu skrb Đakovo,0,0,1,0,0,0,0,11,,
Centar za socijalnu skrb Đurđevac,0,0,0,0,0,1,0,57,,
Centar za socijalnu skrb Šibenik,0,1,0,0,0,0,0,6,,
Centar za socijalnu skrb Županja,0,0,0,0,1,0,0,33,,
Centar za vozila Hrvatske,1,0,0,0,0,0,0,3,,
Croatia Airlines,0,1,0,0,0,0,0,6,,
Dječja bolnica Srebrnjak,1,0,1,0,0,0,0,7.5,,
Dom učenika srednjih škola 'Antun Gustav Matoš',0,1,0,0,0,0,0,6,,
Dom za starije i nemoćne osobe i tjelesno ili mentalno oštećene osobe - Metković,0,0,1,0,0,0,0,15,,
Druga ekonomska škola,0,0,0,0,0,0,0,,1,73 dana
Druga gimnazija Varaždin,0,0,0,0,0,0,0,,1,35 dana
Druga srednja škola Beli Manastir,0,0,0,0,0,0,0,,1,73 dana
Drvodjeljska škola Zagreb,0,0,0,0,0,0,0,,1,73 dana
Drvodjelska tehnička škola,0,0,0,0,0,0,0,,1,73 dana
Državna škola za javnu upravu,0,1,0,0,0,0,0,10,,
Državni ured za reviziju,1,0,0,0,0,0,0,1,,
Državni zavod za statistiku,2,0,0,0,0,0,0,5,,
Državno izborno povjerenstvo,0,0,0,0,0,0,0,,1,4 dana
Dubrovačka privatna gimnazija,0,0,0,0,0,0,0,,1,35 dana
Dubrovačko-neretvanska županija,0,1,0,0,0,0,0,6,,
Edward Bernays Visoka škola za komunikacijski menadžment,0,0,0,0,1,0,0,24,,
Ekonomska i birotehnička škola Bjelovar,0,0,0,1,0,0,0,16,,
