Tijelo,1-5,6-10,11-15,16-20,21-40,41-60,61+,Median,Broj neodgovorenih,Najstariji neodgovoreni
"Agencija za elektroničke medije, Zagreb",0,1,1,0,0,0,0,9.5,,
"Agencija za investicije i konkurentnost, Zagreb",0,0,1,0,0,0,0,13,,
"Agencija za obalni linijski pomorski promet, Split",0,0,0,0,0,0,0,,1,2 dana
"Agencija za odgoj i obrazovanje, Zagreb",2,0,0,0,1,0,1,19,,
"Agencija za plaćanja u poljoprivredi, ribarstvu i ruralnom razvoju, Zagreb",1,3,2,0,1,0,0,10,,
"Agencija za strukovno obrazovanje i obrazovanje odraslih, Zagreb",0,0,0,0,1,0,0,33,,
"Agencija za ugljikovodike, Zagreb",2,0,0,0,0,0,0,2,4,244 dana
"Agencija za zaštitu osobnih podataka, Zagreb",0,0,1,0,0,0,0,11,,
"Agencija za znanost i visoko obrazovanje, Zagreb",0,0,0,0,0,0,0,,1,311 dana
Arheološki muzej u Splitu,0,0,0,0,0,0,0,,1,16 dana
Bjelovarsko-bilogorska županija,1,1,0,0,0,0,0,6.5,,
"Brijuni Rivijera, Pula",0,0,0,0,0,0,0,,3,186 dana
Centar za socijalnu skrb Osijek,0,0,0,0,0,0,0,,2,63 dana
Cesting,1,0,0,0,0,0,0,1,,
"Croatia Airlines, Zagreb",0,1,0,0,0,0,0,10,,
"Dječji vrtić Brat Sunce, Šibenik",0,0,0,0,0,0,0,,1,232 dana
"Dječji vrtić Ribica, Zadar",0,0,0,0,0,0,0,,1,190 dana
Dom zdravlja Našice,0,1,0,0,0,0,0,10,,
Dom zdravlja Osijek,0,0,0,1,0,0,0,17,,
"Dom zdravlja Županja, Županja",1,1,0,0,0,0,0,4.5,1,262 dana
"Državna geodetska uprava, Zagreb",0,0,0,0,0,0,0,,1,16 dana
"Državni zavod za intelektualno vlasništvo, Zagreb",0,0,1,0,0,0,0,12,,
"Državni zavod za statistiku, Zagreb",0,3,0,0,0,0,0,9,,
"Državno izborno povjerenstvo Republike Hrvatske, Zagreb",0,0,0,0,0,0,1,242,1,117 dana
"Državno odvjetništvo Republike Hrvatske, Zagreb",0,0,0,0,0,1,0,43,,
"Državno sudbeno vijeće, Zagreb",0,0,0,0,0,0,0,,1,31 dana
"Financijska agencija, Zagreb",0,0,0,0,0,0,3,109,,
"Fond za zaštitu okoliša i energetsku učinkovitost, Zagreb",2,1,0,0,0,0,0,2,,
Grad Bakar,0,0,0,0,0,0,0,,1,273 dana
Grad Beli Manastir,1,0,0,0,0,0,0,2,,
Grad Belišće,0,0,0,0,0,0,0,,1,273 dana
Grad Bjelovar,0,0,0,0,0,0,0,,1,10 dana
Grad Daruvar,1,0,0,0,0,0,0,3,1,291 dana
Grad Garešnica,0,0,0,0,0,0,0,,1,291 dana
