"url","Ulica","Povrsina","Vrsta","Korisnik","Nacin koristenja","Djelatnost"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=KRALJA%20ZVONIMIRA%200037","KRALJA ZVONIMIRA 0037","17,00","poslovni prostor","ALLIANZ ZAGREB d.d.","ugovor o zakupu","osiguranje"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=KRALJA%20ZVONIMIRA%200094","KRALJA ZVONIMIRA 0094","22,00","garaža","NEKIĆ VELIMIR","ugovor o zakupu","smještaj osobnog vozila"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=KRALJA%20ZVONIMIRA%200094","KRALJA ZVONIMIRA 0094","22,00","garaža","ŠTOJS LANA","ugovor o zakupu","smještaj vozila"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=KRALJA%20ZVONIMIRA%200094","KRALJA ZVONIMIRA 0094","22,00","garaža","VUKOV-COLIĆ DRAŽEN","ugovor o zakupu","smještaj osobnog vozila"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=KRALJEVIČKA%200034","KRALJEVIČKA 0034","19,38","poslovni prostor","KAMENSKO CREATIVA","ugovor o korištenju","Za potrebe okupljanja i povezivanja nezaposlenih žena i bivših djelatnica društva Kamensko d.d. putem održavanja radionica u svrhu popularizacije različitih likovnih izričaja kao što su likovne radionice, održavanje raznih tečajeva kao što je tečaj šivanja i pletenja, predavačke aktivnosti, izložbene, glazbeno-scenske, radioničke, prikazivačke, bibliotečno-posudbene, informativno-izdavačke aktivnosti te međukulturalne sadržaje"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=KRALJICE%20JELENE%200008","KRALJICE JELENE 0008","45,00","poslovni prostor","ANTONIO JAMIČIĆ JDOO","ugovor o zakupu","ugostiteljska djelatnost - posluživanje pića i hrane"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=KRALJICE%20JELENE%200008","KRALJICE JELENE 0008","90,30","poslovni prostor","UDRUGA ZA PROMICANJE DRUŠTVENIH IGARA ""IGRANJE""","ugovor o korištenju","za potrebe dnevnih radionica društvenih igara mladih te obitelji s djecom radi poticanja na zdravu socijalizaciju i upoznavanje s modernim društvenim igrama, za radionice s nastavnicima škola u cilju upoznavanja društvenih igara u vannastavnim programima"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=KRANJČEVIĆEVA%200004","KRANJČEVIĆEVA 0004","35,00","poslovni prostor","CONCORDIA SPORTSKI HOCKEY KLUB","korisnik prostora bez ugovora",""
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=KRANJČEVIĆEVA%200004/B","KRANJČEVIĆEVA 0004/B","44,00","poslovni prostor","RADAN MLADEN","sudski i ostali postupci u tijeku-Grad nije u posjedu",""
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=KRIŽANIĆEVA%200005","KRIŽANIĆEVA 0005","55,00","poslovni prostor","ZLATKO KAUZLARIĆ","ugovor o korištenju","za potrebe ateljea"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=KRIŽANIĆEVA%200005","KRIŽANIĆEVA 0005","55,00","poslovni prostor","MIRKO VUCO","ugovor o korištenju","atelje"
"http://www1.zagreb.hr/zagreb/gradskaimovina.nsf/FLPrikaz?OpenForm&RestrictToCategory=KRIŽANIĆEVA%200009","KRIŽANIĆEVA 0009","56,70","poslovni prostor","GRAČAN STJEPAN","ugovor o zakupu","atelje"
