"Šifra","Naziv županije","Naziv JLS-a","2012.","2013.","2014.","2015.","2016.","2017.","2018.","2019.","""-"" označava da nema transakcija","","",""
"507","Splitsko-dalmatinska","CISTA PROVO","-","-","z","-","-","-","-",".","","","",""
"515","Šibensko-kninska","CIVLJANE","-","-","-","-","-","-","-",".","","","",""
"523","Primorsko-goranska","CRES","8,061.98 ","9,286.13 ","8,491.63 ","8,019.40 ","9,483.79 ","9,958.7","9,929.4","12,508.77","","","",""
"531","Primorsko-goranska","CRIKVENICA","10,864.46 ","10,517.93 ","9,627.23 ","9,436.42 ","9,830.22 ","9,684.6","9,752.1","10,570.90","","","",""
"540","Virovitičko-podravska","CRNAC","-","z","-","z","-","-","-",".","","","",""
"1031","Osječko-baranjska","ĐAKOVO","6,119.74 ","5,617.33 ","4,934.14 ","4,592.99 ","4,550.73 ","4,451.4","4,776.3","5,626.79","","","",""
"663","Osječko-baranjska","DARDA","z","z","z","z","2,206.53 ","z","z","z","","","",""
"671","Bjelovarsko-bilogorska","DARUVAR","5,950.49 ","5,635.51 ","5,242.15 ","4,473.92 ","4,268.20 ","4,064.6","4,063.8","4,898.93","","","",""
"680","Brodsko-posavska","DAVOR","-","-","-","-","-","-","-",".","","","",""
"6033","Međimurska","DEKANOVEC","-","-","z","-","-","-","-",".","","","",""
"1040","Koprivničko-križevačka","ĐELEKOVEC","-","z","-","-","z","-","z","z","","","",""
"698","Primorsko-goranska","DELNICE","4,342.43 ","z","z","z","4,916.30 ","5,203.8","4,313.8","2,925.90","","","",""
"701","Krapinsko-zagorska","DESINIĆ","-","z","z","-","z","-","z","z","","","",""
"710","Bjelovarsko-bilogorska","DEŽANOVAC","-","-","-","-","-","-","-",".","","","",""
"728","Splitsko-dalmatinska","DICMO","-","-","-","-","-","-","-",".","","","",""
"744","Primorsko-goranska","DOBRINJ","10,726.97 ","10,458.31 ","9,789.05 ","9,287.43 ","8,955.81 ","8,444.8","10,068.4","10,251.00","","","",""
"752","Međimurska","DOMAŠINEC","-","-","-","-","-","-","z",".","","","",""
"787","Međimurska","DONJA DUBRAVA","-","z","-","-","z","-","-",".","","","",""
"5762","Osječko-baranjska","DONJA MOTIČINA","-","-","-","-","-","-","-",".","","","",""
"795","Krapinsko-zagorska","DONJA STUBICA","z","z","-","z","z","z","z","z","","","",""
"809","Varaždinska","DONJA VOĆA","-","z","-","-","-","-","z","z","","","",""
"817","Brodsko-posavska","DONJI ANDRIJEVCI","-","-","-","z","-","-","z","z","","","",""
"825","Međimurska","DONJI KRALJEVEC","z","-","-","-","-","z","z","6,715.96","","","",""
"833","Sisačko-moslavačka","DONJI KUKURUZARI","-","-","-","-","-","-","-",".","","","",""
"841","Ličko-senjska","DONJI LAPAC","-","z","-","z","-","-","z","z","","","",""
"850","Varaždinska","DONJI MARTIJANEC","-","-","-","-","-","-","-","z","","","",""
"868","Osječko-baranjska","DONJI MIHOLJAC","z","z","4,585.68 ","4,217.49 ","4,340.75 ","5,047.6","4,550.1","4,662.12","","","",""
"892","Međimurska","DONJI VIDOVEC","-","-","-","-","-","-","-",".","","","",""
"5681","Brodsko-posavska","DRAGALIĆ","-","-","-","-","-","-","-","z","","","",""
"906","Karlovačka","DRAGANIĆ","-","-","-","-","z","-","-","z","","","",""
"914","Osječko-baranjska","DRAŽ","-","-","-","z","-","-","-",".","","","",""
"949","Osječko-baranjska","DRENJE","-","-","-","-","-","-","-",".","","","",""
"922","Vukovarsko-srijemska","DRENOVCI","-","z","-","-","z","-","-","z","","","",""
