"Šifra","Naziv županije","Naziv JLS-a","2012.","2013.","2014.","2015.","2016.","2017.","2018.","2019.","""-"" označava da nema transakcija","","",""
"2534","Primorsko-goranska","MALINSKA-DUBAŠNICA","11,770.56 ","11,816.18 ","12,091.66 ","11,292.88 ","10,766.90 ","11,206.2","10,515.4","12,279.96","","","",""
"2542","Istarska","MARČANA","z","8,338.73 ","z","z","6,536.35 ","8,346.5","7,365.9","8,458.61","","","",""
"2569","Krapinsko-zagorska","MARIJA BISTRICA","-","-","z","-","-","z","z","z","","","",""
"5398","Zagrebačka","MARIJA GORICA","-","-","-","-","-","-","z",".","","","",""
"2577","Osječko-baranjska","MARIJANCI","-","-","-","-","-","-","-",".","","","",""
"2585","Splitsko-dalmatinska","MARINA","z","z","7,080.00 ","9,959.76 ","9,052.70 ","6,974.0","z","z","","","",""
"6106","Vukovarsko-srijemska","MARKUŠICA","-","-","-","-","-","-","-",".","","","",""
"2593","Sisačko-moslavačka","MARTINSKA VES","-","-","-","-","-","-","-",".","","","",""
"2607","Varaždinska","MARUŠEVEC","z","z","-","z","z","-","z","z","","","",""
"2615","Primorsko-goranska","MATULJI","8,608.09 ","8,859.53 ","7,785.17 ","7,173.80 ","7,594.96 ","6,638.7","7,853.4","8,471.93","","","",""
"2631","Istarska","MEDULIN","9,076.61 ","9,131.83 ","8,681.29 ","8,554.55 ","8,953.82 ","8,999.8","9,338.8","9,283.25","","","",""
"2640","Dubrovačko-neretvanska","METKOVIĆ","6,786.16 ","6,494.52 ","6,799.15 ","6,234.15 ","5,342.62 ","5,976.6","7,337.0","6,230.92","","","",""
"2658","Krapinsko-zagorska","MIHOVLJAN","-","-","-","-","-","-","-",".","","","",""
"2666","Virovitičko-podravska","MIKLEUŠ","-","-","-","-","-","-","-",".","","","",""
"2674","Splitsko-dalmatinska","MILNA","10,338.57 ","z","z","-","z","6,480.0","z","5,854.80","","","",""
"2682","Dubrovačko-neretvanska","MLJET","-","-","-","-","-","z","-","z","","","",""
"2704","Koprivničko-križevačka","MOLVE","-","-","-","z","-","-","z","z","","","",""
"2739","Primorsko-goranska","MOŠĆENIČKA DRAGA","z","z","z","z","z","z","z","13,000.27","","","",""
"2747","Istarska","MOTOVUN - MONTONA","-","-","z","z","-","-","z","z","","","",""
"2755","Primorsko-goranska","MRKOPALJ","z","z","z","-","-","-","z","z","","","",""
"876","Splitsko-dalmatinska","MUĆ","-","-","-","-","-","-","-",".","","","",""
"2763","Međimurska","MURSKO SREDIŠĆE","z","-","z","z","z","-","3,592.0","5,505.48","","","",""
"6173","Šibensko-kninska","MURTER - KORNATI","z","z","z","z","5,782.98 ","9,247.8","9,847.3","8,710.14","","","",""
"2780","Osječko-baranjska","NAŠICE","7,232.18 ","6,276.54 ","5,820.33 ","5,753.69 ","5,342.65 ","5,302.3","5,515.6","6,968.96","","","",""
"2798","Međimurska","NEDELIŠĆE","-","-","z","-","-","-","z","z","","","",""
"6122","Vukovarsko-srijemska","NEGOSLAVCI","-","-","-","-","-","-","-",".","","","",""
"2801","Splitsko-dalmatinska","NEREŽIŠĆA","-","-","-","-","-","-","z","z","","","",""
"2810","Karlovačka","NETRETIĆ","-","-","-","z","-","-","-","z","","","",""
"2950","Vukovarsko-srijemska","NIJEMCI","-","-","-","-","-","-","-","z","","","",""
"2828","Zadarska","NIN","8,541.37 ","8,331.49 ","8,272.58 ","7,992.11 ","7,736.56 ","8,084.7","7,528.6","8,358.35","","","",""
"2836","Virovitičko-podravska","NOVA BUKOVICA","-","-","-","-","-","z","-",".","","","",""
"2844","Brodsko-posavska","NOVA GRADIŠKA","4,433.49 ","4,571.05 ","4,363.83 ","4,193.62 ","4,480.50 ","3,505.3","4,027.4","3,101.26","","","",""
"2852","Brodsko-posavska","NOVA KAPELA","-","-","z","-","-","-","-","z","","","",""
"2879","Bjelovarsko-bilogorska","NOVA RAČA","-","-","-","-","z","-","z","z","","","",""
"2887","Ličko-senjska","NOVALJA","9,560.28 ","9,077.57 ","9,469.12 ","8,567.97 ","8,950.06 ","9,474.6","9,170.0","9,448.95","","","",""
"5541","Krapinsko-zagorska","NOVI GOLUBOVEC","-","-","-","-","-","-","-","z","","","",""
"2895","Varaždinska","NOVI MAROF","z","z","z","z","z","z","z","921.24","","","",""
"2909","Primorsko-goranska","NOVI VINODOLSKI","7,984.51 ","8,079.78 ","8,540.13 ","9,154.92 ","8,807.85 ","8,805.4","8,701.5","8,895.35","","","",""
"5371","Zadarska","NOVIGRAD","-","z","z","z","z","10,528.5","10,724.5","12,326.62","","","",""
"2917","Istarska","NOVIGRAD - CITTANOVA","11,505.45 ","11,303.95 ","12,102.61 ","9,903.79 ","9,243.87 ","-","z","z","","","",""
"2925","Koprivničko-križevačka","NOVIGRAD PODRAVSKI","-","z","z","-","-","-","z","z","","","",""
"5614","Koprivničko-križevačka","NOVO VIRJE","-","-","-","-","-","-","z","z","","","",""
"2933","Sisačko-moslavačka","NOVSKA","z","z","z","z","z","z","3,300.7","3,038.19","","","",""
"2941","Vukovarsko-srijemska","NUŠTAR","-","z","-","-","-","-","z",".","","","",""
"2968","Zadarska","OBROVAC","z","z","2,489.10 ","5,925.02 ","4,278.71 ","6,581.3","4,644.7","5,561.99","","","",""
"2976","Karlovačka","OGULIN","4,199.63 ","2,760.74 ","3,548.41 ","3,216.26 ","4,456.70 ","3,261.1","4,055.6","4,551.88","","","",""
"5886","Splitsko-dalmatinska","OKRUG","10,546.41 ","9,508.58 ","10,781.06 ","9,200.22 ","8,994.10 ","9,735.0","10,698.8","11,526.20","","","",""
"2992","Brodsko-posavska","OKUČANI","z","z","-","z","z","-","z","z","","","",""
"3000","Splitsko-dalmatinska","OMIŠ","12,200.77 ","11,499.78 ","9,285.71 ","11,492.60 ","9,796.89 ","10,298.3","10,918.4","11,549.34","","","",""
"3018","Primorsko-goranska","OMIŠALJ","12,061.70 ","11,131.90 ","11,361.96 ","11,129.64 ","9,860.79 ","9,655.9","9,440.2","11,131.34","","","",""
"3026","Primorsko-goranska","OPATIJA","15,846.26 ","15,691.07 ","9,361.56 ","13,279.76 ","13,354.34 ","13,449.6","13,841.6","14,445.97","","","",""
"3034","Brodsko-posavska","OPRISAVCI","-","-","-","-","-","-","-",".","","","",""
"3042","Istarska","OPRTALJ - PORTOLE","-","-","-","-","-","-","-","z","","","",""
"3069","Dubrovačko-neretvanska","OPUZEN","z","z","z","z","z","-","z","6,765.62","","","",""
"3077","Virovitičko-podravska","ORAHOVICA","z","z","z","z","z","z","z","4,569.37","","","",""
"3085","Dubrovačko-neretvanska","OREBIĆ","z","z","z","z","7,357.84 ","6,708.9","z","7,621.95","","","",""
"6050","Međimurska","OREHOVICA","-","-","-","-","z","-","-",".","","","",""
"3093","Brodsko-posavska","ORIOVAC","z","-","z","-","z","z","z","z","","","",""
"5428","Zagrebačka","ORLE","-","-","-","-","-","-","-",".","","","",""
"3115","Krapinsko-zagorska","OROSLAVJE","6,889.92 ","5,332.35 ","z","z","z","5,922.4","5,189.7","5,931.08","","","",""
"3123","Osječko-baranjska","OSIJEK","6,686.08 ","6,290.92 ","6,242.23 ","5,990.32 ","5,821.86 ","5,975.0","6,019.4","6,654.41","","","",""
"3131","Ličko-senjska","OTOČAC","4,218.13 ","z","z","z","4,816.83 ","z","4,360.9","4,233.37","","","",""
"3140","Splitsko-dalmatinska","OTOK","-","-","-","-","-","-","-",".","","","",""
"5355","Vukovarsko-srijemska","OTOK","-","-","z","-","z","-","-",".","","","",""
"3158","Karlovačka","OZALJ","z","z","z","z","z","-","z","2,622.37","","","",""
"3166","Zadarska","PAG","9,175.83 ","7,835.74 ","7,654.35 ","7,581.63 ","6,525.06 ","6,900.9","6,526.7","7,192.01","","","",""
"3174","Zadarska","PAKOŠTANE","8,149.08 ","8,772.34 ","7,739.76 ","8,237.46 ","7,992.22 ","9,116.5","7,910.9","8,754.51","","","",""
"3182","Požeško-slavonska","PAKRAC","3,683.65 ","2,937.27 ","3,516.96 ","3,369.82 ","z","z","2,888.4","2,881.61","","","",""
"3204","Zadarska","PAŠMAN","8,962.01 ","8,609.29 ","7,610.00 ","7,047.51 ","7,632.44 ","7,426.5","6,877.9","6,776.37","","","",""
"3212","Istarska","PAZIN","7,374.23 ","5,823.16 ","5,696.65 ","5,658.05 ","5,528.25 ","5,330.2","5,825.8","6,627.99","","","",""
"3239","Ličko-senjska","PERUŠIĆ","z","z","-","z","-","-","z",".","","","",""
"3247","Koprivničko-križevačka","PETERANEC","-","-","-","-","-","-","z","z","","","",""
"3255","Osječko-baranjska","PETLOVAC","-","-","-","-","-","-","-",".","","","",""
"3263","Varaždinska","PETRIJANEC","-","-","-","z","-","-","z","z","","","",""
"3271","Osječko-baranjska","PETRIJEVCI","z","-","-","-","-","-","-",".","","","",""
"3280","Sisačko-moslavačka","PETRINJA","3,921.05 ","3,599.69 ","3,400.79 ","2,958.29 ","3,227.76 ","2,430.1","3,013.4","3,264.61","","","",""
"3298","Krapinsko-zagorska","PETROVSKO","-","-","-","-","-","-","-",".","","","",""
"3301","Istarska","PIĆAN","z","-","-","z","-","-","-",".","","","",""
"5819","Šibensko-kninska","PIROVAC","z","z","z","z","z","7,192.6","7,805.9","7,390.89","","","",""
"3310","Zagrebačka","PISAROVINA","-","-","-","-","-","-","-",".","","","",""
"3328","Virovitičko-podravska","PITOMAČA","z","z","z","z","z","z","z","z","","","",""
"3336","Karlovačka","PLAŠKI","-","-","-","-","-","-","-",".","","","",""
"3344","Požeško-slavonska","PLETERNICA","z","-","-","-","-","-","z","z","","","",""
"4553","Ličko-senjska","PLITVIČKA JEZERA","z","z","z","z","z","z","1,264.3","1,320.00","","","",""
"3352","Dubrovačko-neretvanska","PLOČE","6,310.43 ","6,539.38 ","6,611.55 ","5,678.23 ","5,558.30 ","4,798.1","5,639.9","7,185.03","","","",""
"3379","Splitsko-dalmatinska","PODBABLJE","-","-","-","-","-","-","-",".","","","",""
"3387","Brodsko-posavska","PODCRKAVLJE","-","-","-","-","-","-","-",".","","","",""
"3395","Splitsko-dalmatinska","PODGORA","7,903.61 ","z","z","z","13,989.78 ","11,216.9","z","10,091.06","","","",""
"3409","Osječko-baranjska","PODGORAČ","-","-","-","-","z","-","-",".","","","",""
"2712","Osječko-baranjska","PODRAVSKA MOSLAVINA","-","-","-","-","-","-","-",".","","","",""
"6165","Koprivničko-križevačka","PODRAVSKE SESVETE","-","-","-","-","-","-","z","z","","","",""
"3417","Splitsko-dalmatinska","PODSTRANA","12,299.77 ","12,552.77 ","10,186.52 ","10,628.51 ","10,802.12 ","10,214.7","11,800.2","11,417.42","","","",""
"3425","Međimurska","PODTUREN","-","-","-","z","-","-","z","z","","","",""
"3433","Dubrovačko-neretvanska","POJEZERJE","-","-","z","-","-","-","-",".","","","",""
"5444","Zagrebačka","POKUPSKO","-","-","-","z","-","-","-",".","","","",""
"3441","Zadarska","POLAČA","-","z","z","z","z","-","-",".","","","",""
"3450","Zadarska","POLIČNIK","-","-","-","-","-","-","z",".","","","",""
"3468","Osječko-baranjska","POPOVAC","-","z","-","z","z","-","z","z","","","",""
"3476","Sisačko-moslavačka","POPOVAČA","5,960.52 ","z","z","z","z","4,393.7","z","z","","","",""
"3484","Istarska","POREČ - PARENZO","9,991.14 ","9,198.30 ","9,938.64 ","9,606.31 ","9,722.71 ","10,093.0","10,451.0","11,042.97","","","",""
"3492","Zadarska","POSEDARJE","z","7,575.98 ","z","4,534.34 ","5,554.28 ","7,545.9","7,437.3","8,760.65","","","",""
"3506","Splitsko-dalmatinska","POSTIRA","z","z","z","z","z","z","z","4,804.56","","","",""
"5738","Zadarska","POVLJANA","8,577.46 ","8,283.64 ","8,603.75 ","7,648.41 ","8,219.49 ","9,042.2","6,753.8","7,768.95","","","",""
"3514","Požeško-slavonska","POŽEGA","5,026.94 ","5,216.70 ","4,694.70 ","4,613.93 ","3,482.05 ","4,228.3","3,986.4","4,952.38","","","",""
"3522","Krapinsko-zagorska","PREGRADA","-","z","z","z","z","-","5,743.1","z","","","",""
"3549","Zadarska","PREKO","10,833.66 ","z","z","9,784.50 ","9,308.71 ","8,122.7","8,561.3","8,695.58","","","",""
"3557","Međimurska","PRELOG","5,202.28 ","z","4,278.09 ","z","z","z","z","z","","","",""
"3565","Zagrebačka","PRESEKA","z","-","-","-","-","-","-",".","","","",""
"5894","Splitsko-dalmatinska","PRGOMET","-","-","-","-","-","-","-",".","","","",""
"6203","Međimurska","PRIBISLAVEC","-","-","z","-","z","-","-",".","","","",""
"5908","Splitsko-dalmatinska","PRIMORSKI DOLAC","-","-","-","-","-","-","-",".","","","",""
"3573","Šibensko-kninska","PRIMOŠTEN","z","z","z","z","11,753.14 ","10,642.6","10,663.3","10,759.71","","","",""
"5835","Vukovarsko-srijemska","PRIVLAKA","-","-","-","-","-","7,400.5","7,612.3","z","","","",""
"5746","Zadarska","PRIVLAKA","7,103.32 ","8,578.30 ","5,338.07 ","z","7,909.63 ","-","-","7,171.32","","","",""
"884","Splitsko-dalmatinska","PROLOŽAC","-","-","-","-","-","-","-",".","","","",""
"2984","Šibensko-kninska","PROMINA","-","-","-","z","-","-","-",".","","","",""
"3581","Splitsko-dalmatinska","PUČIŠĆA","z","-","z","z","-","-","z","z","","","",""
"3590","Istarska","PULA - POLA","7,780.52 ","7,129.75 ","6,930.32 ","6,918.69 ","7,278.80 ","7,373.2","7,470.0","8,553.11","","","",""
"3603","Primorsko-goranska","PUNAT","14,146.92 ","11,102.88 ","11,723.73 ","10,986.66 ","11,480.90 ","13,310.8","6,689.2","10,882.26","","","",""
"3611","Osječko-baranjska","PUNITOVCI","-","-","-","-","-","-","-",".","","","",""
"3620","Zagrebačka","PUŠĆA","-","-","-","-","-","-","-",".","","","",""
"3638","Primorsko-goranska","RAB","8,706.53 ","7,920.48 ","8,336.20 ","7,548.44 ","8,182.42 ","8,683.2","8,823.3","10,623.73","","","",""
"3646","Krapinsko-zagorska","RADOBOJ","z","-","-","-","-","-","-",".","","","",""
"5363","Zagrebačka","RAKOVEC","-","-","-","-","z","-","-","z","","","",""
"3654","Karlovačka","RAKOVICA","-","-","-","z","-","-","-",".","","","",""
"3689","Istarska","RAŠA","7,991.34 ","z","7,269.05 ","z","5,125.53 ","4,673.5","7,895.0","3,482.35","","","",""
"3662","Koprivničko-križevačka","RASINJA","-","-","-","-","-","-","z","13.59","","","",""
"3697","Primorsko-goranska","RAVNA GORA","-","-","-","-","-","-","z","z","","","",""
"3719","Zadarska","RAŽANAC","z","z","z","z","z","z","z","7,994.03","","","",""
"3727","Brodsko-posavska","REŠETARI","-","-","-","-","-","-","-","z","","","",""
"5568","Karlovačka","RIBNIK","-","-","-","-","-","-","-",".","","","",""
"3735","Primorsko-goranska","RIJEKA","9,145.32 ","8,850.99 ","8,393.47 ","8,157.13 ","8,119.43 ","8,303.3","8,725.5","9,295.09","","","",""
"5827","Šibensko-kninska","ROGOZNICA","9,590.47 ","9,118.52 ","10,696.07 ","9,827.22 ","8,673.17 ","8,388.3","10,124.0","8,807.34","","","",""
"3743","Istarska","ROVINJ - ROVIGNO","12,594.61 ","12,458.33 ","11,603.60 ","13,303.50 ","11,853.21 ","12,874.9","12,739.3","14,199.96","","","",""
"3751","Bjelovarsko-bilogorska","ROVIŠĆE","-","-","-","-","-","-","-","z","","","",""
"3760","Zagrebačka","RUGVICA","z","-","z","z","-","-","z","z","","","",""
"5916","Splitsko-dalmatinska","RUNOVIĆI","-","-","-","-","-","-","-",".","","","",""
"3778","Šibensko-kninska","RUŽIĆ","-","-","-","-","-","-","-",".","","","",""
"3786","Karlovačka","SABORSKO","-","-","-","-","-","-","-",".","","","",""
"3794","Zadarska","SALI","-","-","z","z","-","-","z","z","","","",""
"3808","Zagrebačka","SAMOBOR","7,515.35 ","6,987.84 ","7,271.39 ","6,986.44 ","6,675.96 ","6,854.2","7,005.5","7,394.14","","","",""
"5649","Bjelovarsko-bilogorska","ŠANDROVAC","-","-","-","-","-","-","z","z","","","",""
"3816","Osječko-baranjska","SATNICA ĐAKOVAČKA","-","-","-","-","-","-","-",".","","","",""
"3824","Splitsko-dalmatinska","SEGET","z","z","z","z","9,552.86 ","8,910.7","10,106.6","11,073.03","","","",""
"3832","Splitsko-dalmatinska","SELCA","z","-","z","z","z","-","z","z","","","",""
"3859","Međimurska","SELNICA","-","-","-","-","-","-","-",".","","","",""
"3867","Osječko-baranjska","SEMELJCI","z","-","-","-","z","-","z",".","","","",""
"3875","Ličko-senjska","SENJ","7,538.05 ","6,832.27 ","6,395.71 ","6,222.55 ","6,839.89 ","6,845.5","7,052.2","7,279.88","","","",""
"6084","Međimurska","ŠENKOVEC","z","-","z","-","z","-","z","z","","","",""
"4430","Splitsko-dalmatinska","ŠESTANOVAC","-","-","-","-","-","-","z","z","","","",""
"5622","Bjelovarsko-bilogorska","SEVERIN","-","-","-","-","-","-","-","z","","","",""
"4448","Šibensko-kninska","ŠIBENIK","8,081.25 ","8,048.62 ","7,747.15 ","7,396.01 ","7,840.47 ","7,494.4","7,688.7","8,380.27","","","",""
"3883","Brodsko-posavska","SIBINJ","-","z","-","-","-","-","z","z","","","",""
"5703","Brodsko-posavska","SIKIREVCI","-","-","-","-","-","-","z","z","","","",""
"3891","Splitsko-dalmatinska","SINJ","5,293.29 ","6,238.68 ","6,252.20 ","7,096.00 ","6,259.79 ","6,416.0","7,111.0","7,625.45","","","",""
"3905","Bjelovarsko-bilogorska","SIRAČ","-","-","-","-","-","-","-",".","","","",""
"3913","Sisačko-moslavačka","SISAK","5,365.41 ","4,467.79 ","4,172.21 ","4,138.63 ","3,823.08 ","3,751.6","3,883.9","4,055.29","","","",""
"4456","Zadarska","ŠKABRNJA","-","-","-","-","-","-","-",".","","","",""
"3930","Primorsko-goranska","SKRAD","-","-","-","-","z","-","-","z","","","",""
"3948","Šibensko-kninska","SKRADIN","-","z","z","z","z","-","z","z","","","",""
"3956","Virovitičko-podravska","SLATINA","4,837.92 ","5,267.60 ","4,220.14 ","4,612.85 ","3,847.97 ","3,802.3","4,214.0","3,892.15","","","",""
"3964","Brodsko-posavska","SLAVONSKI BROD","5,472.61 ","5,651.47 ","5,702.69 ","5,214.19 ","5,249.36 ","4,981.6","5,180.5","5,225.04","","","",""
"3972","Brodsko-posavska","SLAVONSKI ŠAMAC","z","-","z","-","z","-","-","z","","","",""
"3999","Dubrovačko-neretvanska","SLIVNO","z","z","z","4,870.59 ","6,513.88 ","z","9,610.8","8,052.30","","","",""
"4006","Karlovačka","SLUNJ","z","2,973.06 ","2,701.81 ","z","z","z","z","3,155.23","","","",""
"4022","Dubrovačko-neretvanska","SMOKVICA","-","-","-","z","-","-","-","z","","","",""
"6149","Osječko-baranjska","ŠODOLOVCI","-","-","-","-","-","-","-",".","","","",""
"4057","Koprivničko-križevačka","SOKOLOVAC","-","z","-","-","-","-","z","z","","","",""
"4065","Splitsko-dalmatinska","SOLIN","8,939.02 ","9,198.20 ","10,371.54 ","8,271.00 ","9,144.67 ","9,007.6","8,129.5","8,950.76","","","",""
"4472","Splitsko-dalmatinska","ŠOLTA","9,711.37 ","8,400.24 ","9,142.56 ","7,665.74 ","7,503.50 ","10,317.0","8,294.8","8,695.94","","","",""
"4073","Virovitičko-podravska","SOPJE","-","-","-","-","-","-","-",".","","","",""
"4499","Virovitičko-podravska","ŠPIŠIĆ BUKOVICA","-","-","-","-","-","-","-",".","","","",""
"4090","Splitsko-dalmatinska","SPLIT","12,501.95 ","12,138.57 ","12,433.08 ","11,306.27 ","11,867.24 ","11,964.5","13,488.1","14,022.04","","","",""
"4103","Varaždinska","SRAČINEC","-","-","-","-","-","-","-",".","","","",""
"4111","Zadarska","STANKOVCI","-","-","-","-","-","-","-",".","","","",""
"4120","Brodsko-posavska","STARA GRADIŠKA","-","-","-","-","-","z","z",".","","","",""
"4138","Splitsko-dalmatinska","STARI GRAD","z","z","-","z","7,877.04 ","9,155.6","z","8,740.74","","","",""
"4146","Vukovarsko-srijemska","STARI JANKOVCI","-","-","z","z","-","-","-",".","","","",""
"4154","Vukovarsko-srijemska","STARI MIKANOVCI","-","-","-","-","-","-","z",".","","","",""
"4162","Zadarska","STARIGRAD","7,447.87 ","z","z","z","6,765.08 ","z","7,153.9","7,930.80","","","",""
"4189","Brodsko-posavska","STARO PETROVO SELO","-","-","-","-","-","-","z","z","","","",""
"4502","Bjelovarsko-bilogorska","ŠTEFANJE","-","-","-","-","-","-","-","z","","","",""
"6289","Vukovarsko-srijemska","ŠTITAR","-","-","-","-","-","-","-","z","","","",""
"4197","Dubrovačko-neretvanska","STON","-","z","z","-","z","z","z","z","","","",""
"6068","Međimurska","STRAHONINEC","-","z","-","-","z","-","z","1,734.60","","","",""
"4529","Međimurska","ŠTRIGOVA","z","z","z","-","z","-","-","z","","","",""
"4219","Osječko-baranjska","STRIZIVOJNA","-","-","-","-","-","-","z","z","","","",""
"4227","Krapinsko-zagorska","STUBIČKE TOPLICE","z","z","z","z","z","z","6,285.1","5,149.48","","","",""
"5517","Zagrebačka","STUPNIK","-","-","-","z","-","-","-","z","","","",""
"4235","Splitsko-dalmatinska","SUĆURAJ","z","-","z","z","-","z","z","z","","","",""
"4243","Virovitičko-podravska","SUHOPOLJE","-","z","z","-","z","-","z","z","","","",""
"4251","Zadarska","SUKOŠAN","z","z","12,540.00 ","-","12,959.11 ","12,117.7","11,358.9","9,506.93","","","",""
"4260","Sisačko-moslavačka","SUNJA","-","z","-","-","-","-","-","z","","","",""
"4278","Splitsko-dalmatinska","SUPETAR","9,956.68 ","8,964.00 ","11,146.77 ","12,360.53 ","9,600.43 ","8,712.0","9,199.5","8,662.48","","","",""
"5924","Splitsko-dalmatinska","SUTIVAN","10,466.11 ","11,091.93 ","z","9,233.20 ","8,024.32 ","10,537.0","10,605.2","9,613.26","","","",""
"6076","Međimurska","SVETA MARIJA","-","-","-","-","-","-","z",".","","","",""
"4324","Istarska","SVETA NEDELJA","z","z","-","-","z","z","z","z","","","",""
"4367","Zagrebačka","SVETA NEDELJA","8,731.16 ","6,529.89 ","7,006.75 ","6,832.57 ","6,696.24 ","6,925.0","6,949.5","7,493.41","","","",""
"4375","Varaždinska","SVETI ĐURĐ","-","-","-","-","-","-","-",".","","","",""
"4286","Zadarska","SVETI FILIP I JAKOV","8,370.29 ","8,797.43 ","8,015.14 ","8,332.36 ","7,455.82 ","8,187.7","6,114.6","8,459.04","","","",""
"4383","Varaždinska","SVETI ILIJA","-","-","-","-","-","-","-","z","","","",""
"4391","Koprivničko-križevačka","SVETI IVAN ŽABNO","z","-","-","z","-","-","-","z","","","",""
"4294","Zagrebačka","SVETI IVAN ZELINA","z","z","z","z","z","z","4,771.3","5,595.20","","","",""
"4405","Međimurska","SVETI JURAJ NA BREGU","-","-","-","-","-","-","-",".","","","",""
"4308","Krapinsko-zagorska","SVETI KRIŽ ZAČRETJE","z","z","z","z","z","-","z","z","","","",""
"4316","Istarska","SVETI LOVREČ","-","-","-","-","z","-","-","z","","","",""
"4413","Međimurska","SVETI MARTIN NA MURI","z","z","z","z","z","z","z","5,664.76","","","",""
"4421","Koprivničko-križevačka","SVETI PETAR OREHOVEC","-","-","-","-","-","-","-",".","","","",""
"4332","Istarska","SVETI PETAR U ŠUMI","-","z","-","-","-","-","-","z","","","",""
"4359","Istarska","SVETVINČENAT","z","-","-","-","z","-","z","z","","","",""
"6319","Istarska","TAR-VABRIGA - TORRE-ABREGA","9,585.99 ","9,153.09 ","10,617.01 ","8,018.61 ","8,560.24 ","10,032.8","9,386.6","10,536.03","","","",""
"4537","Istarska","TINJAN","-","z","-","-","-","-","-","z","","","",""
"4545","Šibensko-kninska","TISNO","z","z","z","z","9,655.02 ","11,266.7","9,521.9","6,985.20","","","",""
"5754","Zadarska","TKON","z","z","z","z","z","z","9,670.8","z","","","",""
"4561","Vukovarsko-srijemska","TOMPOJEVCI","-","-","-","-","-","-","-",".","","","",""
"4570","Sisačko-moslavačka","TOPUSKO","z","z","z","-","z","z","z","z","","","",""
"4588","Vukovarsko-srijemska","TORDINCI","-","-","-","-","-","-","-",".","","","",""
"5576","Karlovačka","TOUNJ","z","-","z","-","z","-","z","z","","","",""
"4596","Vukovarsko-srijemska","TOVARNIK","-","-","z","-","-","-","-",".","","","",""
"6262","Šibensko-kninska","TRIBUNJ","8,105.79 ","z","z","z","z","8,689.4","7,987.7","8,595.36","","","",""
"4600","Splitsko-dalmatinska","TRILJ","z","z","z","z","z","-","z","z","","","",""
"4618","Osječko-baranjska","TRNAVA","-","-","-","-","-","-","-",".","","","",""
"4626","Varaždinska","TRNOVEC BARTOLOVEČKI","-","-","-","-","z","-","-",".","","","",""
"4634","Splitsko-dalmatinska","TROGIR","9,138.98 ","8,255.12 ","8,693.14 ","10,036.20 ","8,871.16 ","9,279.2","10,375.3","10,859.44","","","",""
"6017","Dubrovačko-neretvanska","TRPANJ","z","-","-","-","z","-","z",".","","","",""
"4642","Vukovarsko-srijemska","TRPINJA","-","-","-","-","-","-","z","z","","","",""
"5932","Splitsko-dalmatinska","TUČEPI","-","z","z","12,147.51 ","z","-","z","11,590.45","","","",""
"4669","Krapinsko-zagorska","TUHELJ","-","-","-","-","-","-","-","z","","","",""
"4677","Ličko-senjska","UDBINA","-","-","z","z","-","-","z","z","","","",""
"4685","Istarska","UMAG - UMAGO","11,581.33 ","8,546.12 ","10,783.20 ","9,898.54 ","9,713.01 ","8,667.2","10,576.4","11,267.71","","","",""
"4693","Šibensko-kninska","UNEŠIĆ","-","-","-","-","-","-","-",".","","","",""
"4715","Osječko-baranjska","VALPOVO","5,259.43 ","5,163.02 ","z","4,407.54 ","4,581.57 ","4,981.7","4,839.8","4,714.38","","","",""
"4723","Varaždinska","VARAŽDIN","6,665.66 ","6,468.72 ","6,411.33 ","6,416.78 ","6,496.62 ","6,557.2","6,626.4","7,269.22","","","",""
"4731","Varaždinska","VARAŽDINSKE TOPLICE","z","z","z","z","z","-","z","z","","","",""
"4740","Dubrovačko-neretvanska","VELA LUKA","-","z","z","z","z","z","-","z","","","",""
"4758","Požeško-slavonska","VELIKA","-","-","-","-","-","-","-","z","","","",""
"5410","Zagrebačka","VELIKA GORICA","7,826.41 ","6,878.14 ","6,676.63 ","6,509.42 ","6,634.48 ","6,559.5","6,578.3","7,402.81","","","",""
"4766","Brodsko-posavska","VELIKA KOPANICA","-","-","-","z","-","-","z",".","","","",""
"4774","Sisačko-moslavačka","VELIKA LUDINA","z","-","z","-","-","-","-","z","","","",""
"4782","Bjelovarsko-bilogorska","VELIKA PISANICA","-","-","-","-","-","-","-","z","","","",""
"5657","Bjelovarsko-bilogorska","VELIKA TRNOVITICA","-","z","-","-","-","-","z",".","","","",""
"5584","Varaždinska","VELIKI BUKOVEC","-","-","-","z","-","-","z","z","","","",""
"4804","Bjelovarsko-bilogorska","VELIKI GRĐEVAC","-","-","z","-","z","-","z","z","","","",""
"4812","Krapinsko-zagorska","VELIKO TRGOVIŠĆE","z","z","z","z","z","z","z","z","","","",""
"4839","Bjelovarsko-bilogorska","VELIKO TROJSTVO","-","-","-","-","-","-","-","z","","","",""
"4847","Varaždinska","VIDOVEC","-","-","-","-","-","-","-",".","","","",""
"4855","Osječko-baranjska","VILJEVO","-","-","-","-","-","-","-",".","","","",""
"4863","Varaždinska","VINICA","z","-","-","-","z","z","-","z","","","",""
"4871","Vukovarsko-srijemska","VINKOVCI","5,451.52 ","4,944.99 ","4,533.24 ","4,067.63 ","4,009.01 ","4,326.9","4,207.3","4,636.86","","","",""
"4880","Primorsko-goranska","VINODOLSKA OPĆINA","z","z","z","z","z","z","z","z","","","",""
"4898","Zadarska","VIR","6,599.75 ","6,010.76 ","6,576.18 ","5,915.63 ","6,448.23 ","5,874.6","7,061.2","7,630.70","","","",""
